School Division/Independent School,Code,School Name,Year,SE,Nursery,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
Beautiful Plains,2202,Acadia Colony School,2019,0,0,2,3,4,4,2,1,2,2,3,0,2,2,2,29
Beautiful Plains,1117,Brookdale School,2019,0,0,4,4,4,5,3,5,8,2,4,0,0,0,0,39
Beautiful Plains,1434,Carberry Collegiate,2019,0,0,0,0,0,0,0,37,40,39,37,34,41,44,51,323
Beautiful Plains,2098,Fairway Colony School,2019,0,0,0,1,3,2,0,2,0,2,3,1,3,2,0,19
Beautiful Plains,1292,Hazel M. Kellington School,2019,0,0,76,93,99,89,90,0,0,0,0,0,0,0,0,447
Beautiful Plains,1184,J. M. Young School,2019,0,0,7,10,1,11,4,5,2,1,0,0,0,0,0,41
Beautiful Plains,1573,Neepawa Area Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,80,98,93,104,375
Beautiful Plains,2320,Neepawa Middle School,2019,0,0,0,0,0,0,0,99,86,107,109,0,0,0,0,401
Beautiful Plains,1645,R. J. Waugh Elementary,2019,0,0,41,44,33,37,46,0,0,0,0,0,0,0,0,201
Beautiful Plains,1574,Riverbend Colony School,2019,0,0,1,2,0,3,0,2,0,2,1,2,0,3,1,17
Beautiful Plains,1734,Riverside Colony School,2019,0,0,2,0,2,3,3,0,3,1,1,1,1,0,1,18
Beautiful Plains,2236,Rolling Acres School,2019,0,0,2,1,1,2,2,3,1,1,0,1,2,0,1,17
Beautiful Plains,1221,Spruce Wood School,2019,0,0,4,2,0,4,4,0,7,4,1,7,1,4,1,39
Beautiful Plains,2127,Twilight Colony School,2019,0,0,1,2,0,0,2,3,0,1,1,4,2,1,0,17
Beautiful Plains,1311,Willerton School,2019,0,0,3,6,0,7,5,3,5,6,2,4,3,2,5,51
Border Land,2086,Blue Clay Colony School,2019,0,0,1,2,2,1,2,2,0,0,1,2,0,3,2,18
Border Land,1730,École Elmwood School,2019,0,0,62,79,87,74,0,0,0,0,0,0,0,0,0,302
Border Land,1721,École Parkside School,2019,0,0,0,0,0,0,0,0,0,81,81,0,0,0,0,162
Border Land,1533,École West Park School,2019,0,0,0,0,0,0,75,76,56,0,0,0,0,0,0,207
Border Land,1177,Emerson Elementary,2019,0,0,14,6,7,11,10,7,9,8,11,0,0,0,0,83
Border Land,1380,Glenway Colony School,2019,0,0,2,1,0,3,1,1,1,2,0,2,2,2,3,20
Border Land,2290,Green Ridge School,2019,0,0,3,1,5,0,2,1,3,1,2,0,2,1,1,22
Border Land,1786,Gretna Elementary,2019,0,0,20,17,18,15,16,24,13,17,20,0,0,0,0,160
Border Land,2286,Horizon Colony School,2019,0,0,0,1,1,2,1,1,1,2,0,1,1,4,0,15
Border Land,2122,Pineland Colony School,2019,0,0,2,1,4,0,1,3,1,3,1,0,3,3,1,23
Border Land,2123,Ridgeville Colony School,2019,0,0,0,2,3,1,2,1,1,2,1,0,2,1,0,16
Border Land,1658,Roseau Valley School,2019,0,0,5,9,8,11,11,16,17,12,25,32,28,26,37,237
Border Land,1344,Rosenfeld Elementary,2019,0,0,5,6,18,14,8,18,10,0,0,0,0,0,0,79
Border Land,1059,Ross L. Gray School,2019,0,0,11,15,9,13,16,8,12,11,11,10,11,10,8,145
Border Land,1551,Shevchenko School,2019,0,0,19,30,25,24,33,25,25,29,24,39,28,31,28,360
Border Land,1778,W. C. Miller Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,107,78,104,116,405
Brandon,1901,Alexander School,2019,0,0,13,10,11,18,22,13,12,11,13,0,0,0,0,123
Brandon,1325,Betty Gibson School,2019,0,0,40,36,39,33,34,35,36,30,30,0,0,0,0,313
Brandon,1302,Crocus Plains Regional Secondary,2019,0,0,0,0,0,0,0,0,0,0,0,263,270,264,302,1099
Brandon,1371,Earl Oxford School,2019,0,0,43,36,44,37,54,35,45,34,35,0,0,0,0,363
Brandon,1449,École Harrison,2019,0,0,40,43,39,38,36,40,40,42,43,0,0,0,0,361
Brandon,1007,George Fitton School,2019,0,0,54,64,56,51,38,58,51,45,43,0,0,0,0,460
Brandon,1112,Green Acres School,2019,0,0,25,24,27,25,20,28,20,28,27,0,0,0,0,224
Brandon,1270,J. R. Reid School,2019,0,0,32,25,28,29,23,43,34,33,34,0,0,0,0,281
Brandon,1660,King George School,2019,0,0,36,45,38,39,38,16,29,50,60,0,0,0,0,351
Brandon,1987,Kirkcaldy Heights School,2019,0,0,45,43,41,52,39,45,37,48,46,0,0,0,0,396
Brandon,1631,Linden Lanes School,2019,0,0,49,53,58,45,35,45,49,51,47,0,0,0,0,432
Brandon,1706,Meadows School,2019,0,0,49,65,52,64,45,66,42,61,46,0,0,0,0,490
Brandon,1758,Neelin High,2019,39,0,0,0,0,0,0,0,0,0,0,131,113,131,126,540
Brandon,1215,New Era School,2019,0,0,52,65,55,56,40,50,42,43,57,0,0,0,0,460
Brandon,1845,O'Kelly School,2019,0,0,22,31,29,21,27,21,21,12,12,0,0,1,0,197
Brandon,2321,Prairie Hope High School,2019,0,0,0,0,0,0,0,0,0,0,0,3,13,32,193,241
Brandon,1604,Riverheights School,2019,9,0,76,53,79,65,75,58,61,62,55,0,0,0,0,593
Brandon,1603,Riverview School,2019,0,0,27,29,27,29,17,25,26,0,0,0,0,0,0,180
Brandon,1037,Spring Valley Colony School,2019,0,0,1,4,2,3,2,7,0,3,1,4,4,3,2,36
Brandon,1593,St. Augustine School,2019,0,0,18,20,21,21,21,20,24,25,25,0,0,0,0,195
Brandon,1700,Valleyview Centennial School,2019,0,0,22,34,26,29,20,27,20,22,15,0,0,0,0,215
Brandon,1880,Vincent Massey High,2019,0,0,0,0,0,0,0,0,0,0,0,257,246,257,240,1000
Brandon,2048,Waverly Park School,2019,0,0,43,52,51,49,50,45,56,64,44,0,0,0,0,454
D.S.F.M.,2255,Centre scolaire Léo-Rémillard,2019,0,0,0,0,0,0,0,0,0,0,0,92,97,79,87,355
D.S.F.M.,1287,Collège Louis-Riel,2019,0,0,0,0,0,0,0,0,0,47,74,86,117,102,87,513
D.S.F.M.,1332,École Christine-Lespérance,2019,0,0,55,57,57,69,53,71,52,70,49,0,0,0,0,533
D.S.F.M.,2078,École communautaire Aurèle-Lemoine,2019,0,0,5,5,7,8,4,6,9,4,8,4,2,3,5,70
D.S.F.M.,2147,École communautaire Gilbert-Rosset,2019,0,8,6,6,8,3,5,2,3,3,5,4,2,3,2,60
D.S.F.M.,2267,École communautaire La Voie Du Nord,2019,0,0,10,14,13,8,8,7,13,13,7,0,3,3,0,99
D.S.F.M.,1870,École communautaire Réal-Bérard,2019,0,0,31,33,30,28,23,16,21,19,16,12,14,22,19,284
D.S.F.M.,2091,École communautaire Saint-Georges,2019,0,6,8,2,3,4,7,2,6,6,3,1,2,1,2,53
D.S.F.M.,2104,École Jours de Plaine,2019,0,4,3,4,2,6,7,7,1,9,1,1,1,1,0,47
D.S.F.M.,2231,École La Source,2019,0,0,23,30,18,15,15,19,15,22,13,7,6,5,3,191
D.S.F.M.,1180,École Lacerte,2019,0,0,48,51,42,47,50,41,43,50,47,0,0,0,0,419
D.S.F.M.,1770,École Lagimodière,2019,0,0,18,26,17,20,29,16,19,25,22,0,0,0,0,192
D.S.F.M.,1204,École Noël-Ritchot,2019,0,0,25,12,25,28,31,30,32,19,32,0,0,0,0,234
D.S.F.M.,1648,École Pointe-Des-Chênes,2019,0,0,26,18,35,18,38,28,27,30,24,9,16,9,11,289
D.S.F.M.,1887,École Précieux-Sang,2019,0,0,49,61,53,55,44,54,43,38,36,0,0,0,0,433
D.S.F.M.,1671,École régionale Notre-Dame,2019,0,0,21,19,24,10,21,13,17,17,14,10,6,18,9,199
D.S.F.M.,1152,École régionale Saint-Jean-Baptiste,2019,0,0,10,12,6,9,8,5,10,10,13,7,8,7,4,109
D.S.F.M.,2211,École Roméo-Dallaire,2019,0,0,23,21,27,18,24,22,15,14,19,0,0,0,0,183
D.S.F.M.,1319,École Sainte-Agathe,2019,0,0,11,15,18,15,16,11,25,13,8,0,0,0,0,132
D.S.F.M.,1399,École Saint-Joachim,2019,0,0,44,36,36,31,29,31,34,29,39,24,19,25,20,397
D.S.F.M.,1350,École Saint-Lazare,2019,0,4,8,11,6,8,4,8,6,5,10,5,1,4,4,84
D.S.F.M.,1808,École Taché,2019,0,0,71,58,78,86,72,59,59,0,0,0,0,0,0,483
D.S.F.M.,1557,École/Collège régionale Gabrielle-Roy,2019,0,16,36,29,21,29,18,28,27,21,25,57,55,65,54,481
Evergreen,1587,Arborg Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,29,30,24,36,119
Evergreen,1423,Arborg Early/Middle Years School,2019,0,0,26,28,32,26,25,22,27,27,28,0,0,0,0,241
Evergreen,1300,Dr. George Johnson Middle School,2019,0,0,0,0,0,0,0,52,56,44,43,0,0,0,0,195
